,tweet,class,clean_tweet,target
0,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,2,woman complain cleaning house man always take trash,Neither
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,1,boy dat cold tyga dwn bad cuffin dat hoe 1st place,Offensive
2,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,1,dawg ever fuck bitch stato cry confused shit,Offensive
3,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,1,g anderson based look like tranny,Offensive
4,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,1,shit hear might true might faker bitch told ya 57361,Offensive
5,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",1,madison x shit blow claim faithful somebody still fucking hoe 128514 128514 128514,Offensive
6,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",1,brighterdays sit hate another bitch got much shit going,Offensive
7,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,1,8220 cause tired big bitch coming u skinny girl 8221,Offensive
8,""" &amp; you might not get ya bitch back &amp; thats that """,1,might get ya bitch back thats,Offensive
9,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1,hobby include fighting mariam bitch,Offensive
10,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",1,keeks bitch curve everyone lol walked conversation like smh,Offensive
11,""" Murda Gang bitch its Gang Land """,1,murda gang bitch gang land,Offensive
12,""" So hoes that smoke are losers ? "" yea ... go on IG",1,hoe smoke loser yea go ig,Offensive
13,""" bad bitches is the only thing that i like """,1,bad bitch thing like,Offensive
14,""" bitch get up off me """,1,bitch get,Offensive
15,""" bitch nigga miss me with it """,1,bitch nigga miss,Offensive
16,""" bitch plz whatever """,1,bitch please whatever,Offensive
17,""" bitch who do you love """,1,bitch love,Offensive
18,""" bitches get cut off everyday B """,1,bitch get cut everyday b,Offensive
19,""" black bottle &amp; a bad bitch """,1,black bottle bad bitch,Offensive
20,""" broke bitch cant tell me nothing """,1,broke bitch cant tell nothing,Offensive
21,""" cancel that bitch like Nino """,1,cancel bitch like nino,Offensive
22,""" cant you see these hoes wont change """,1,cant see hoe wont change,Offensive
23,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",1,fuck bitch dont even suck dick 128514 128514 128514 kermit video bout fuck ig,Offensive
24,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",1,got ya bitch tip toeing hardwood floor 128514,Offensive
25,""" her pussy lips like Heaven doors "" &#128524;",1,pussy lip like heaven door 128524,Offensive
26,""" hoe what its hitting for """,1,hoe hitting,Offensive
27,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",1,met pussy ocean dr gave pussy pill 128524,Offensive
28,""" i need a trippy bitch who fuck on Hennessy """,1,need trippy bitch fuck hennessy,Offensive
29,""" i spend my money how i want bitch its my business """,1,spend money want bitch business,Offensive
30,""" i txt my old bitch my new bitch pussy wetter """,1,txt old bitch new bitch pussy wetter,Offensive
31,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",1,say im back old old bitch would get excited 128524,Offensive
32,""" if you aint bout that Murder Game pussy nigga shut up """,1,aint bout murder game pussy nigga shut,Offensive
33,""" if you're toes ain't done you pussy stinks """,1,toe done pussy stink,Offensive
34,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,1,im done bitter bitch wrap angry bird there app,Offensive
35,""" is that ya bitch """,1,ya bitch,Offensive
36,""" it aint nothing to cut a bitch off """,1,aint nothing cut bitch,Offensive
